location_id,parent_id,path_to_top_parent,level,most_detailed,location_name,location_ascii_name
560,102,"1,64,100,102,560",4,1,Oregon,Oregon
561,102,"1,64,100,102,561",4,1,Pennsylvania,Pennsylvania
562,102,"1,64,100,102,562",4,1,Rhode Island,Rhode Island
563,102,"1,64,100,102,563",4,1,South Carolina,South Carolina
564,102,"1,64,100,102,564",4,1,South Dakota,South Dakota
565,102,"1,64,100,102,565",4,1,Tennessee,Tennessee
566,102,"1,64,100,102,566",4,1,Texas,Texas
567,102,"1,64,100,102,567",4,1,Utah,Utah
568,102,"1,64,100,102,568",4,1,Vermont,Vermont
569,102,"1,64,100,102,569",4,1,Virginia,Virginia
570,102,"1,64,100,102,570",4,0,Washington,Washington
60886,570,"1,64,100,102,570,60886",5,1,King and Snohomish Counties,King and Snohomish Counties
3539,570,"1,64,100,102,570,3539",5,1,Spokane County,Spokane County
60887,570,"1,64,100,102,570,60887",5,1,"Washington except for King, Snohomish, and Spokane Counties","Washington except for King, Snohomish, and Spokane Counties"
571,102,"1,64,100,102,571",4,1,West Virginia,West Virginia
572,102,"1,64,100,102,572",4,1,Wisconsin,Wisconsin
573,102,"1,64,100,102,573",4,1,Wyoming,Wyoming
96,64,"1,64,96",2,0,Southern Latin America,Southern Latin America
97,96,"1,64,96,97",3,1,Argentina,Argentina
98,96,"1,64,96,98",3,1,Chile,Chile
99,96,"1,64,96,99",3,1,Uruguay,Uruguay
73,64,"1,64,73",2,0,Western Europe,Western Europe
74,73,"1,64,73,74",3,1,Andorra,Andorra
75,73,"1,64,73,75",3,1,Austria,Austria
76,73,"1,64,73,76",3,1,Belgium,Belgium
77,73,"1,64,73,77",3,1,Cyprus,Cyprus
78,73,"1,64,73,78",3,1,Denmark,Denmark
79,73,"1,64,73,79",3,1,Finland,Finland
80,73,"1,64,73,80",3,1,France,France
81,73,"1,64,73,81",3,0,Germany,Germany
60377,81,"1,64,73,81,60377",4,1,Baden-Württemberg,Baden-Wurttemberg
60378,81,"1,64,73,81,60378",4,1,Bavaria,Bavaria
60379,81,"1,64,73,81,60379",4,1,Berlin,Berlin
60380,81,"1,64,73,81,60380",4,1,Brandenburg,Brandenburg
60381,81,"1,64,73,81,60381",4,1,Bremen,Bremen
60382,81,"1,64,73,81,60382",4,1,Hamburg,Hamburg
60383,81,"1,64,73,81,60383",4,1,Hesse,Hesse
60384,81,"1,64,73,81,60384",4,1,Lower Saxony,Lower Saxony
60385,81,"1,64,73,81,60385",4,1,Mecklenburg-Vorpommern,Mecklenburg-Vorpommern
60386,81,"1,64,73,81,60386",4,1,North Rhine-Westphalia,North Rhine-Westphalia
60387,81,"1,64,73,81,60387",4,1,Rhineland-Palatinate,Rhineland-Palatinate
60388,81,"1,64,73,81,60388",4,1,Saarland,Saarland
60390,81,"1,64,73,81,60390",4,1,Saxony,Saxony
60389,81,"1,64,73,81,60389",4,1,Saxony-Anhalt,Saxony-Anhalt
60391,81,"1,64,73,81,60391",4,1,Schleswig-Holstein,Schleswig-Holstein
60392,81,"1,64,73,81,60392",4,1,Thuringia,Thuringia
82,73,"1,64,73,82",3,1,Greece,Greece
83,73,"1,64,73,83",3,1,Iceland,Iceland
84,73,"1,64,73,84",3,1,Ireland,Ireland
85,73,"1,64,73,85",3,1,Israel,Israel
86,73,"1,64,73,86",3,0,Italy,Italy
35507,86,"1,64,73,86,35507",4,1,Abruzzo,Abruzzo
35511,86,"1,64,73,86,35511",4,1,Basilicata,Basilicata
35512,86,"1,64,73,86,35512",4,1,Calabria,Calabria
35509,86,"1,64,73,86,35509",4,1,Campania,Campania
35502,86,"1,64,73,86,35502",4,1,Emilia-Romagna,Emilia-Romagna
35501,86,"1,64,73,86,35501",4,1,Friuli-Venezia Giulia,Friuli-Venezia Giulia
35506,86,"1,64,73,86,35506",4,1,Lazio,Lazio
35496,86,"1,64,73,86,35496",4,1,Liguria,Liguria
35497,86,"1,64,73,86,35497",4,1,Lombardia,Lombardia
35505,86,"1,64,73,86,35505",4,1,Marche,Marche
35508,86,"1,64,73,86,35508",4,1,Molise,Molise
35494,86,"1,64,73,86,35494",4,1,Piemonte,Piemonte
35498,86,"1,64,73,86,35498",4,1,Provincia autonoma di Bolzano,Provincia autonoma di Bolzano
35499,86,"1,64,73,86,35499",4,1,Provincia autonoma di Trento,Provincia autonoma di Trento
35510,86,"1,64,73,86,35510",4,1,Puglia,Puglia
35514,86,"1,64,73,86,35514",4,1,Sardegna,Sardegna
35513,86,"1,64,73,86,35513",4,1,Sicilia,Sicilia
35503,86,"1,64,73,86,35503",4,1,Toscana,Toscana
35504,86,"1,64,73,86,35504",4,1,Umbria,Umbria
35495,86,"1,64,73,86,35495",4,1,Valle d'Aosta,Valle d'Aosta
35500,86,"1,64,73,86,35500",4,1,Veneto,Veneto
87,73,"1,64,73,87",3,1,Luxembourg,Luxembourg
88,73,"1,64,73,88",3,1,Malta,Malta
367,73,"1,64,73,367",3,1,Monaco,Monaco
89,73,"1,64,73,89",3,1,Netherlands,Netherlands
90,73,"1,64,73,90",3,1,Norway,Norway
91,73,"1,64,73,91",3,1,Portugal,Portugal
396,73,"1,64,73,396",3,1,San Marino,San Marino
92,73,"1,64,73,92",3,0,Spain,Spain
60357,92,"1,64,73,92,60357",4,1,Andalucia,Andalucia
60358,92,"1,64,73,92,60358",4,1,Aragon,Aragon
60365,92,"1,64,73,92,60365",4,1,Asturias,Asturias
60363,92,"1,64,73,92,60363",4,1,Balearic Islands,Balearic Islands
60374,92,"1,64,73,92,60374",4,1,Basque Country,Basque Country
60364,92,"1,64,73,92,60364",4,1,Canary Islands,Canary Islands
60359,92,"1,64,73,92,60359",4,1,Cantabria,Cantabria
60367,92,"1,64,73,92,60367",4,1,Castile and León,Castile and Leon
60360,92,"1,64,73,92,60360",4,1,Castilla-La Mancha,Castilla-La Mancha
60368,92,"1,64,73,92,60368",4,1,Catalonia,Catalonia
60369,92,"1,64,73,92,60369",4,1,Ceuta,Ceuta
60361,92,"1,64,73,92,60361",4,1,Community of Madrid,Community of Madrid
60362,92,"1,64,73,92,60362",4,1,Extremadura,Extremadura
60372,92,"1,64,73,92,60372",4,1,Galicia,Galicia
60376,92,"1,64,73,92,60376",4,1,La Rioja,La Rioja
60373,92,"1,64,73,92,60373",4,1,Melilla,Melilla
60366,92,"1,64,73,92,60366",4,1,Murcia,Murcia
60370,92,"1,64,73,92,60370",4,1,Navarre,Navarre
60371,92,"1,64,73,92,60371",4,1,Valencian Community,Valencian Community
93,73,"1,64,73,93",3,1,Sweden,Sweden
94,73,"1,64,73,94",3,1,Switzerland,Switzerland
95,73,"1,64,73,95",3,1,United Kingdom,United Kingdom
103,1,"1,103",1,0,Latin America and Caribbean,Latin America and Caribbean
120,103,"1,103,120",2,0,Andean Latin America,Andean Latin America
121,120,"1,103,120,121",3,1,Bolivia (Plurinational State of),Bolivia (Plurinational State of)
122,120,"1,103,120,122",3,1,Ecuador,Ecuador
123,120,"1,103,120,123",3,1,Peru,Peru
104,103,"1,103,104",2,0,Caribbean,Caribbean
105,104,"1,103,104,105",3,1,Antigua and Barbuda,Antigua and Barbuda
106,104,"1,103,104,106",3,1,Bahamas,Bahamas
107,104,"1,103,104,107",3,1,Barbados,Barbados
108,104,"1,103,104,108",3,1,Belize,Belize
305,104,"1,103,104,305",3,1,Bermuda,Bermuda
109,104,"1,103,104,109",3,1,Cuba,Cuba
110,104,"1,103,104,110",3,1,Dominica,Dominica
111,104,"1,103,104,111",3,1,Dominican Republic,Dominican Republic
112,104,"1,103,104,112",3,1,Grenada,Grenada
113,104,"1,103,104,113",3,1,Guyana,Guyana
114,104,"1,103,104,114",3,1,Haiti,Haiti
115,104,"1,103,104,115",3,1,Jamaica,Jamaica
385,104,"1,103,104,385",3,1,Puerto Rico,Puerto Rico
393,104,"1,103,104,393",3,1,Saint Kitts and Nevis,Saint Kitts and Nevis
116,104,"1,103,104,116",3,1,Saint Lucia,Saint Lucia
117,104,"1,103,104,117",3,1,Saint Vincent and the Grenadines,Saint Vincent and the Grenadines
118,104,"1,103,104,118",3,1,Suriname,Suriname
119,104,"1,103,104,119",3,1,Trinidad and Tobago,Trinidad and Tobago
422,104,"1,103,104,422",3,1,United States Virgin Islands,United States Virgin Islands
124,103,"1,103,124",2,0,Central Latin America,Central Latin America
125,124,"1,103,124,125",3,1,Colombia,Colombia
126,124,"1,103,124,126",3,1,Costa Rica,Costa Rica
127,124,"1,103,124,127",3,1,El Salvador,El Salvador
128,124,"1,103,124,128",3,1,Guatemala,Guatemala
129,124,"1,103,124,129",3,1,Honduras,Honduras
130,124,"1,103,124,130",3,0,Mexico,Mexico
4643,130,"1,103,124,130,4643",4,1,Aguascalientes,Aguascalientes
4644,130,"1,103,124,130,4644",4,1,Baja California,Baja California
4645,130,"1,103,124,130,4645",4,1,Baja California Sur,Baja California Sur
4646,130,"1,103,124,130,4646",4,1,Campeche,Campeche
4649,130,"1,103,124,130,4649",4,1,Chiapas,Chiapas
4650,130,"1,103,124,130,4650",4,1,Chihuahua,Chihuahua
4647,130,"1,103,124,130,4647",4,1,Coahuila,Coahuila
4648,130,"1,103,124,130,4648",4,1,Colima,Colima
4652,130,"1,103,124,130,4652",4,1,Durango,Durango
4653,130,"1,103,124,130,4653",4,1,Guanajuato,Guanajuato
4654,130,"1,103,124,130,4654",4,1,Guerrero,Guerrero
4655,130,"1,103,124,130,4655",4,1,Hidalgo,Hidalgo
4656,130,"1,103,124,130,4656",4,1,Jalisco,Jalisco
4657,130,"1,103,124,130,4657",4,1,México,Mexico
4651,130,"1,103,124,130,4651",4,1,Mexico City,Mexico City
4658,130,"1,103,124,130,4658",4,1,Michoacán de Ocampo,Michoacan de Ocampo
4659,130,"1,103,124,130,4659",4,1,Morelos,Morelos
4660,130,"1,103,124,130,4660",4,1,Nayarit,Nayarit
4661,130,"1,103,124,130,4661",4,1,Nuevo León,Nuevo Leon
4662,130,"1,103,124,130,4662",4,1,Oaxaca,Oaxaca
4663,130,"1,103,124,130,4663",4,1,Puebla,Puebla
4664,130,"1,103,124,130,4664",4,1,Querétaro,Queretaro
4665,130,"1,103,124,130,4665",4,1,Quintana Roo,Quintana Roo
4666,130,"1,103,124,130,4666",4,1,San Luis Potosí,San Luis Potosi
4667,130,"1,103,124,130,4667",4,1,Sinaloa,Sinaloa
4668,130,"1,103,124,130,4668",4,1,Sonora,Sonora
4669,130,"1,103,124,130,4669",4,1,Tabasco,Tabasco
4670,130,"1,103,124,130,4670",4,1,Tamaulipas,Tamaulipas
4671,130,"1,103,124,130,4671",4,1,Tlaxcala,Tlaxcala
4672,130,"1,103,124,130,4672",4,1,Veracruz de Ignacio de la Llave,Veracruz de Ignacio de la Llave
4673,130,"1,103,124,130,4673",4,1,Yucatán,Yucatan
4674,130,"1,103,124,130,4674",4,1,Zacatecas,Zacatecas
131,124,"1,103,124,131",3,1,Nicaragua,Nicaragua
132,124,"1,103,124,132",3,1,Panama,Panama
133,124,"1,103,124,133",3,1,Venezuela (Bolivarian Republic of),Venezuela (Bolivarian Republic of)
134,103,"1,103,134",2,0,Tropical Latin America,Tropical Latin America
135,134,"1,103,134,135",3,0,Brazil,Brazil
4750,135,"1,103,134,135,4750",4,1,Acre,Acre
4751,135,"1,103,134,135,4751",4,1,Alagoas,Alagoas
4753,135,"1,103,134,135,4753",4,1,Amapá,Amapa
4752,135,"1,103,134,135,4752",4,1,Amazonas,Amazonas
4754,135,"1,103,134,135,4754",4,1,Bahia,Bahia
4755,135,"1,103,134,135,4755",4,1,Ceará,Ceara
4756,135,"1,103,134,135,4756",4,1,Distrito Federal,Distrito Federal
4757,135,"1,103,134,135,4757",4,1,Espírito Santo,Espirito Santo
4758,135,"1,103,134,135,4758",4,1,Goiás,Goias
4759,135,"1,103,134,135,4759",4,1,Maranhão,Maranhao
4762,135,"1,103,134,135,4762",4,1,Mato Grosso,Mato Grosso
4761,135,"1,103,134,135,4761",4,1,Mato Grosso do Sul,Mato Grosso do Sul
4760,135,"1,103,134,135,4760",4,1,Minas Gerais,Minas Gerais
4763,135,"1,103,134,135,4763",4,1,Pará,Para
4764,135,"1,103,134,135,4764",4,1,Paraíba,Paraiba
4765,135,"1,103,134,135,4765",4,1,Paraná,Parana
4766,135,"1,103,134,135,4766",4,1,Pernambuco,Pernambuco
4767,135,"1,103,134,135,4767",4,1,Piaui,Piaui
4768,135,"1,103,134,135,4768",4,1,Rio de Janeiro,Rio de Janeiro
4769,135,"1,103,134,135,4769",4,1,Rio Grande do Norte,Rio Grande do Norte
4772,135,"1,103,134,135,4772",4,1,Rio Grande do Sul,Rio Grande do Sul
4770,135,"1,103,134,135,4770",4,1,Rondônia,Rondonia
4771,135,"1,103,134,135,4771",4,1,Roraima,Roraima
4773,135,"1,103,134,135,4773",4,1,Santa Catarina,Santa Catarina
4775,135,"1,103,134,135,4775",4,1,São Paulo,Sao Paulo
4774,135,"1,103,134,135,4774",4,1,Sergipe,Sergipe
4776,135,"1,103,134,135,4776",4,1,Tocantins,Tocantins
136,134,"1,103,134,136",3,1,Paraguay,Paraguay
137,1,"1,137",1,0,North Africa and Middle East,North Africa and Middle East
138,137,"1,137,138",2,0,North Africa and Middle East,North Africa and Middle East
160,138,"1,137,138,160",3,1,Afghanistan,Afghanistan
139,138,"1,137,138,139",3,1,Algeria,Algeria
140,138,"1,137,138,140",3,1,Bahrain,Bahrain
141,138,"1,137,138,141",3,1,Egypt,Egypt
142,138,"1,137,138,142",3,1,Iran (Islamic Republic of),Iran (Islamic Republic of)
143,138,"1,137,138,143",3,1,Iraq,Iraq
144,138,"1,137,138,144",3,1,Jordan,Jordan
145,138,"1,137,138,145",3,1,Kuwait,Kuwait
146,138,"1,137,138,146",3,1,Lebanon,Lebanon
147,138,"1,137,138,147",3,1,Libya,Libya
148,138,"1,137,138,148",3,1,Morocco,Morocco
150,138,"1,137,138,150",3,1,Oman,Oman
149,138,"1,137,138,149",3,1,Palestine,Palestine
151,138,"1,137,138,151",3,1,Qatar,Qatar
152,138,"1,137,138,152",3,1,Saudi Arabia,Saudi Arabia
522,138,"1,137,138,522",3,1,Sudan,Sudan
153,138,"1,137,138,153",3,1,Syrian Arab Republic,Syrian Arab Republic
154,138,"1,137,138,154",3,1,Tunisia,Tunisia
155,138,"1,137,138,155",3,1,Turkey,Turkey
156,138,"1,137,138,156",3,1,United Arab Emirates,United Arab Emirates
157,138,"1,137,138,157",3,1,Yemen,Yemen
158,1,"1,158",1,0,South Asia,South Asia
159,158,"1,158,159",2,0,South Asia,South Asia
161,159,"1,158,159,161",3,1,Bangladesh,Bangladesh
162,159,"1,158,159,162",3,1,Bhutan,Bhutan
163,159,"1,158,159,163",3,0,India,India
4841,163,"1,158,159,163,4841",4,1,Andhra Pradesh,Andhra Pradesh
4842,163,"1,158,159,163,4842",4,1,Arunachal Pradesh,Arunachal Pradesh
4843,163,"1,158,159,163,4843",4,1,Assam,Assam
4844,163,"1,158,159,163,4844",4,1,Bihar,Bihar
4846,163,"1,158,159,163,4846",4,1,Chhattisgarh,Chhattisgarh
60896,163,"1,158,159,163,60896",4,1,Dadra and Nagar Haveli and Daman and Diu,Dadra and Nagar Haveli and Daman and Diu
4849,163,"1,158,159,163,4849",4,1,Delhi,Delhi
4850,163,"1,158,159,163,4850",4,1,Goa,Goa
4851,163,"1,158,159,163,4851",4,1,Gujarat,Gujarat
4852,163,"1,158,159,163,4852",4,1,Haryana,Haryana
4853,163,"1,158,159,163,4853",4,1,Himachal Pradesh,Himachal Pradesh
60893,163,"1,158,159,163,60893",4,1,Jammu and Kashmir,Jammu and Kashmir
4855,163,"1,158,159,163,4855",4,1,Jharkhand,Jharkhand
4856,163,"1,158,159,163,4856",4,1,Karnataka,Karnataka
4857,163,"1,158,159,163,4857",4,1,Kerala,Kerala
60892,163,"1,158,159,163,60892",4,1,Ladakh,Ladakh
4859,163,"1,158,159,163,4859",4,1,Madhya Pradesh,Madhya Pradesh
4860,163,"1,158,159,163,4860",4,1,Maharashtra,Maharashtra
4861,163,"1,158,159,163,4861",4,1,Manipur,Manipur
4862,163,"1,158,159,163,4862",4,1,Meghalaya,Meghalaya
4863,163,"1,158,159,163,4863",4,1,Mizoram,Mizoram
4864,163,"1,158,159,163,4864",4,1,Nagaland,Nagaland
4865,163,"1,158,159,163,4865",4,1,Odisha,Odisha
4867,163,"1,158,159,163,4867",4,1,Punjab,Punjab
4868,163,"1,158,159,163,4868",4,1,Rajasthan,Rajasthan
4869,163,"1,158,159,163,4869",4,1,Sikkim,Sikkim
4870,163,"1,158,159,163,4870",4,1,Tamil Nadu,Tamil Nadu
4871,163,"1,158,159,163,4871",4,1,Telangana,Telangana
4872,163,"1,158,159,163,4872",4,1,Tripura,Tripura
4873,163,"1,158,159,163,4873",4,1,Uttar Pradesh,Uttar Pradesh
4874,163,"1,158,159,163,4874",4,1,Uttarakhand,Uttarakhand
4875,163,"1,158,159,163,4875",4,1,West Bengal,West Bengal
164,159,"1,158,159,164",3,1,Nepal,Nepal
165,159,"1,158,159,165",3,0,Pakistan,Pakistan
53615,165,"1,158,159,165,53615",4,1,Azad Jammu & Kashmir,Azad Jammu & Kashmir
53616,165,"1,158,159,165,53616",4,1,Balochistan,Balochistan
53617,165,"1,158,159,165,53617",4,1,Gilgit-Baltistan,Gilgit-Baltistan
53618,165,"1,158,159,165,53618",4,1,Islamabad Capital Territory,Islamabad Capital Territory
53619,165,"1,158,159,165,53619",4,1,Khyber Pakhtunkhwa,Khyber Pakhtunkhwa
53620,165,"1,158,159,165,53620",4,1,Punjab,Punjab
53621,165,"1,158,159,165,53621",4,1,Sindh,Sindh
4,1,"1,4",1,0,"Southeast Asia, East Asia, and Oceania","Southeast Asia, East Asia, and Oceania"
5,4,"1,4,5",2,0,East Asia,East Asia
7,5,"1,4,5,7",3,1,Democratic People's Republic of Korea,Democratic People's Republic of Korea
21,4,"1,4,21",2,0,Oceania,Oceania
298,21,"1,4,21,298",3,1,American Samoa,American Samoa
320,21,"1,4,21,320",3,1,Cook Islands,Cook Islands
22,21,"1,4,21,22",3,1,Fiji,Fiji
351,21,"1,4,21,351",3,1,Guam,Guam
23,21,"1,4,21,23",3,1,Kiribati,Kiribati
24,21,"1,4,21,24",3,1,Marshall Islands,Marshall Islands
25,21,"1,4,21,25",3,1,Micronesia (Federated States of),Micronesia (Federated States of)
369,21,"1,4,21,369",3,1,Nauru,Nauru
374,21,"1,4,21,374",3,1,Niue,Niue
